Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
comnetkyberpuhe,FI,4124,5639,195.148.124.199,kyber-puhe.cnict.org,443,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2015-01-19,FUNETAS- FI,1741,12000,None
computecyplonet,FR,8207,4882,51.15.114.134,134-114-15-51.rev.cloud.scaleway.com,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2019-03-11,AS12876- FR,12876,30600,[2001:bc8:4728:190b::1]:9001
COMPUthings,BE,51,10,62.235.42.163,ip-62-235-42-163.dsl.scarlet.be,443,None,0,0,1,0,0,0,1,1,0,Tor 0.3.5.8 on Linux,0,0,2016-06-25,BELGACOM-SKYNET-AS- BE,5432,308,None
COMRAT,UA,1592,112,185.222.202.10,185.222.202.10,9001,80,0,0,1,0,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2018-04-17,UVL2-ASN- UA,204725,2000,None
confidantmail02,US,1011,4857,71.165.151.35,static-71-165-151-35.lsanca.fios.frontiernet.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.4.20 on Linux,0,0,2015-01-27,FRONTIER-FRTR - Frontier Communications of America- Inc.- US,5650,4710,None
ContemporryLtitude,US,33,3449,66.42.58.61,66.42.58.61.vultr.com,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.2.3-alpha on Linux,0,0,2019-05-15,AS-CHOOPA - Choopa- LLC- US,20473,396,None
ContinuumRelay,US,301,96,71.126.130.144,pool-71-126-130-144.washdc.fios.verizon.net,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.4.1.6 on Linux,0,0,2019-09-26,UUNET - MCI Communications Services- Inc. d/b/a Verizon Business- US,701,1520,None
contributionSp,ES,313,62,188.87.124.208,static-208-124-87-188.ipcom.comunitel.net,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2019-06-08,VODAFONE_ES- ES,12430,747,None
Cookie,SG,156,10792,188.166.255.192,188.166.255.192,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.2.10 on Linux,0,0,2018-07-13,DIGITALOCEAN-ASN - DigitalOcean- LLC- US,14061,709,None
cookiedough1,US,39,1421,66.220.3.179,gm179.geneticmail.com,9001,9030,0,1,0,0,0,0,1,1,1,Tor 0.3.5.8 on Linux,0,0,2019-08-08,HURRICANE - Hurricane Electric LLC- US,6939,12,[2001:470:1:19::179]:9001
